OBJECTID *,Field1,CountryNum,StateNum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,RouteTypeID,RouteTypeDetailID,RouteID,Shape *
120,973,840,14,176,CLEAR LK RES,1,41.819007,-121.069262,85,9,1,1,14176,Point
121,974,840,14,177,CEDARVILLE,1,41.529576,-120.171852,89,9,1,1,14177,Point
122,977,840,14,180,BUTTE MEADOW,1,40.117338,-121.575501,66,15,1,1,14180,Point
123,978,840,14,181,GENESEE,1,40.201761,-120.623502,66,15,1,1,14181,Point
124,981,840,14,184,HIGGINS CORN,1,39.068694,-121.009956,92,15,1,1,14184,Point
125,982,840,14,185,DOWNIEVILLE,1,39.56022,-120.828011,66,15,1,1,14185,Point
126,985,840,14,188,RIVERTON,1,38.769412,-120.447387,66,15,1,1,14188,Point
127,989,840,14,192,DEEP SPRINGS,1,37.415801,-118.004311,88,9,1,1,14192,Point
128,996,840,14,199,BARTLE,1,41.252811,-121.823848,85,9,1,1,14199,Point
129,998,840,14,201,HAT CREEK,1,40.81885,-121.570037,66,15,1,1,14201,Point
130,1002,840,14,205,LAKESHORE,1,37.255621,-119.161464,66,15,1,1,14205,Point
131,1005,840,14,213,TAHOE NF,0,39.022677,-120.810058,66,15,1,1,14213,Point
132,1012,840,14,240,WILLOW SPRINGS 2,1,34.971073,-118.148742,83,33,1,1,14240,Point
133,1013,840,14,245,BUENA VISTA,1,35.477944,-119.296211,91,32,1,1,14245,Point
134,1015,840,14,260,LENWOOD 2,1,34.836431,-117.16759,83,33,1,1,14260,Point
135,1019,840,14,308,CHAOS CRATER,1,40.497606,-121.428299,66,15,1,1,14308,Point
136,1024,840,14,341,CAL HOT SPGS,1,35.89089,-118.85004,92,32,1,1,14341,Point
137,1025,840,14,345,Harbor Lake 2,1,33.790921,-118.2918,90,32,1,1,14345,Point
138,1027,840,14,357,POLOMA,1,38.353934,-120.67979,92,32,1,1,14357,Point
139,1028,840,14,366,WOODLANDS,1,34.288143,-116.767411,95,32,1,1,14366,Point
140,1033,840,14,405,HACKAMORE,1,41.609179,-121.050248,85,9,1,1,14405,Point
141,1034,840,14,406,TIONESTA,1,41.670897,-121.257461,85,9,1,1,14406,Point
142,1035,840,14,407,CROWDER FLAT,1,41.869963,-120.501154,85,9,1,1,14407,Point
143,1036,840,14,408,MADELINE,1,41.053462,-120.474555,85,9,1,1,14408,Point
144,1040,840,14,412,FALL RIVER MILLS,1,40.962084,-121.578842,66,9,1,1,14412,Point
145,1041,840,14,413,CHESTER,1,40.305215,-121.143089,66,15,1,1,14413,Point
146,1042,840,14,414,GOUMAZ,1,40.439268,-120.835817,85,15,1,1,14414,Point
147,1043,840,14,415,PAXTON,1,40.040228,-120.996182,66,15,1,1,14415,Point
148,1044,840,14,416,MEADOW VALLEY,1,39.949366,-121.038063,66,15,1,1,14416,Point
149,1045,840,14,417,LITTLE TRUCKEE,1,39.506243,-120.096211,66,15,1,1,14417,Point
150,1046,840,14,418,FOREST HILL,1,39.01924,-120.826324,66,15,1,1,14418,Point
151,1047,840,14,419,POLLOCK PINES,1,38.739683,-120.573408,66,15,1,1,14419,Point
152,1048,840,14,420,PLACERVILLE,1,38.799581,-120.724213,92,15,1,1,14420,Point
153,1050,840,14,422,WAWONA,1,37.461875,-119.793803,92,15,1,1,14422,Point
154,1051,840,14,423,PINE MOUNTAIN,1,36.0106,-118.121361,66,15,1,1,14423,Point
155,1052,840,14,424,KERNVILLE,1,35.79456,-118.44867,92,15,1,1,14424,Point
156,1053,840,14,425,SOUTH LAKE,1,35.69239,-118.290542,92,32,1,1,14425,Point
157,1054,840,14,426,CRESTVIEW,1,37.77678,-119.016875,88,15,1,1,14426,Point
158,1055,840,14,427,ALAMAR,1,34.707242,-119.617729,90,32,1,1,14427,Point
159,1058,840,14,430,MEDICINE MTN.,1,41.534114,-121.58434,85,9,1,1,14430,Point
160,1061,840,14,433,CHILCOOT,1,39.797814,-120.139403,85,15,1,1,14433,Point
161,1062,840,14,434,STRAWBERRY,1,38.17002,-120.037696,66,15,1,1,14434,Point
162,1064,840,14,436,LAST CHANCE,1,40.154164,-120.54534,66,15,1,1,14436,Point
163,1067,840,14,518,FOREST HILL 2,0,39.06961,-120.56761,66,15,1,1,14518,Point
164,1068,840,14,536,SQUAW VALLEY,0,40.153816,-120.545784,66,15,1,1,14536,Point
165,1079,840,17,1,MAYBELL,1,40.74022,-108.088326,86,10,1,1,17001,Point
166,1080,840,17,2,GREAT DIVIDE,1,40.840323,-107.690102,86,10,1,1,17002,Point
167,1081,840,17,3,YAMPA,1,40.153186,-106.874918,84,16,1,1,17003,Point
168,1082,840,17,4,HARMONY,1,40.509083,-105.03923,87,16,1,1,17004,Point
169,1083,840,17,5,BRIGGSDALE,1,40.596354,-104.202782,36,18,1,1,17005,Point
170,1084,840,17,6,PINNEO,1,40.20964,-103.440258,36,18,1,1,17006,Point
171,1085,840,17,7,FLEMING,1,40.656948,-102.933716,36,18,1,1,17007,Point
172,1086,840,17,8,DOUGLAS PASS,1,39.400343,-108.812363,84,16,1,1,17008,Point
173,1087,840,17,9,BUFORD,1,39.965891,-107.648323,84,16,1,1,17009,Point
174,1088,840,17,10,ASPEN,1,39.243807,-106.761066,62,16,1,1,17010,Point
175,1089,840,17,11,CHEESMAN LK,1,39.22098,-105.279199,62,16,1,1,17011,Point
176,1090,840,17,12,KIOWA,0,39.379842,-104.369157,87,18,1,1,17012,Point
177,1091,840,17,13,LAST CHANCE,0,39.856886,-103.649377,36,18,1,1,17013,Point
178,1092,840,17,14,ABARR,1,39.830769,-102.632591,36,18,1,1,17014,Point
179,1093,840,17,15,DELTA,1,38.694789,-108.139051,84,16,1,1,17015,Point
180,1094,840,17,16,COLONA,0,38.305785,-107.963312,62,16,1,1,17016,Point
181,1095,840,17,17,PARLIN,1,38.513728,-106.755073,62,16,1,1,17017,Point
182,1096,840,17,18,MOFFAT,1,38.025678,-105.812715,87,16,1,1,17018,Point
183,1097,840,17,19,RUSH,1,38.839881,-104.092041,36,18,1,1,17019,Point
184,1098,840,17,20,BOYERO,1,38.641057,-103.227936,36,18,1,1,17020,Point
185,1099,840,17,21,LAMAR,1,38.143772,-102.521233,36,18,1,1,17021,Point
186,1100,840,17,22,DOLORES,0,37.518197,-108.535576,84,16,1,1,17022,Point
187,1101,840,17,23,FALFA,1,37.214951,-107.791809,84,16,1,1,17023,Point
188,1102,840,17,24,PAGOSA SPGS,0,37.287731,-106.836945,62,16,1,1,17024,Point
189,1103,840,17,25,BLANCA,0,37.28735,-105.552498,87,16,1,1,17025,Point
190,1106,840,17,28,TWO BUTTES,1,37.687984,-102.292183,36,18,1,1,17028,Point
191,1107,840,17,31,WRAY GULCH,1,40.065301,-108.415387,84,16,1,1,17031,Point
192,1108,840,17,32,WILSON CREEK,1,40.138026,-107.969772,84,16,1,1,17032,Point
193,1109,840,17,33,WALDEN,1,40.879685,-106.45919,86,16,1,1,17033,Point
194,1110,840,17,34,LOST LAKE,1,40.871617,-105.90793,62,16,1,1,17034,Point
195,1111,840,17,35,HUDSON,1,40.305242,-104.696343,36,18,1,1,17035,Point
196,1112,840,17,36,WILDHORSE L,1,40.847844,-103.343926,36,18,1,1,17036,Point
197,1113,840,17,37,WAVERLY,1,40.263115,-102.718208,36,18,1,1,17037,Point
198,1114,840,17,38,FRUITA,0,39.164394,-108.701244,87,16,1,1,17038,Point
199,1115,840,17,39,WILLOW PEAK,1,39.664036,-107.123213,62,16,1,1,17039,Point
200,1116,840,17,40,RED CLIFF,1,39.544267,-106.220612,62,16,1,1,17040,Point
201,1117,840,17,41,TARRYALL,1,39.080063,-105.416001,62,16,1,1,17041,Point
