OBJECTID,Shape,rteno,RTENAME,Shape_Length
209,Polyline,85257,MOON LAKE 2,0.418542
210,Polyline,85263,BOOK RIDGE,0.429128
211,Polyline,85301,GOOSE CREEK MTN.,0.441563
212,Polyline,85302,SNOWVILLE,0.509967
213,Polyline,85303,BROWNS HOLE,0.408586
214,Polyline,85306,KAMAS,0.599716
215,Polyline,85307,HANNA,0.591971
216,Polyline,85308,JONES HOLE,0.475044
217,Polyline,85310,JERICHO JUNCTION,0.581864
218,Polyline,85311,FERRON,0.75009
219,Polyline,85315,PINE CREEK,0.708267
220,Polyline,85316,BICKNELL,0.579863
221,Polyline,85320,ALTON,0.531138
222,Polyline,85901,NEPONSET RES,0.414155
223,Polyline,85902,LOST CR. RES,0.346808
224,Polyline,85903,SALERATUS CR,0.372714
225,Polyline,85904,E. BEAR LAKE,0.418939
226,Polyline,85907,RED SPUR MTN.,0.3892
227,Polyline,85908,BRYCE CANYON,0.439606
228,Polyline,85909,WOODRUFF,0.438814
229,Polyline,85910,CRAWFORD MTS,0.446803
230,Polyline,89015,HARRINGTON,0.455291
231,Polyline,89020,WAPATO,0.462236
232,Polyline,89037,QUINCY,0.386611
233,Polyline,89056,HARTLINE,0.392354
234,Polyline,89057,KEYSTONE,0.420352
235,Polyline,89075,MOSES COULEE,0.459105
236,Polyline,89076,ODESSA,0.416339
237,Polyline,89081,YAKIMA,0.473608
238,Polyline,89162,POMONA,0.670605
239,Polyline,89262,SELAH,0.41446
240,Polyline,92002,CODY,0.437531
241,Polyline,92003,OTTO,0.492131
242,Polyline,92004,BASIN,0.422352
243,Polyline,92005,WYARNO,0.501181
244,Polyline,92006,CLARKELEN,0.440353
245,Polyline,92008,COLTER BAY,0.475832
246,Polyline,92009,DUBOIS,0.374572
247,Polyline,92010,MIDVALE,0.436427
248,Polyline,92011,NOWOOD,0.393677
249,Polyline,92012,NATRONA,0.510969
250,Polyline,92013,BILL,0.372162
251,Polyline,92014,REDBIRD,0.496141
252,Polyline,92015,FONTENELLE,0.425228
253,Polyline,92016,ELK HORN,0.393008
254,Polyline,92017,BEAR CREEK,0.445467
255,Polyline,92018,ERVAY,0.399573
256,Polyline,92019,BROOKHURST,0.461683
257,Polyline,92020,GLENROCK,0.458921
258,Polyline,92022,CUMBERLAND,0.452376
259,Polyline,92023,MCKINNON,0.391492
260,Polyline,92024,PATRICK DRAW,0.431342
261,Polyline,92025,SAVERY,0.420733
262,Polyline,92026,RIVERSIDE,0.426811
263,Polyline,92033,CLARK,0.499385
264,Polyline,92035,FRANNIE,0.421341
265,Polyline,92036,MOOSE,0.48472
266,Polyline,92037,LOVELL,0.420089
267,Polyline,92038,MEETEETSE,0.431918
268,Polyline,92039,TENSLEEP,0.401381
269,Polyline,92041,BALD MTN,0.53738
270,Polyline,92043,SCHOONOVER,0.445529
271,Polyline,92044,ARVADA,0.398683
272,Polyline,92045,RECLUSE,0.414832
273,Polyline,92046,SODA WELL,0.428035
274,Polyline,92047,PINEY,0.501182
275,Polyline,92048,SEELY,0.486563
276,Polyline,92049,UPTON,0.440566
277,Polyline,92053,HORSE CREEK,0.376096
278,Polyline,92055,CROWHEART,0.427468
279,Polyline,92056,ETHETE,0.422624
280,Polyline,92057,ANCHOR,0.445591
281,Polyline,92058,GEBO,0.475074
282,Polyline,92059,ARMINTO,0.445875
283,Polyline,92060,LYSITE,0.433377
284,Polyline,92061,WORLAND,0.435373
285,Polyline,92062,TEAPOT DOME,0.418495
286,Polyline,92063,MAYOWORTH,0.460595
287,Polyline,92064,SUSSEX,0.39496
288,Polyline,92065,HARLAND FLAT,0.396449
289,Polyline,92066,PINE TREE,0.378914
290,Polyline,92067,HIGHLIGHT,0.357854
291,Polyline,92068,RIVERVIEW,0.428647
292,Polyline,92069,NEWCASTLE,0.385889
293,Polyline,92070,RAVEN,0.472104
294,Polyline,92071,SODA LAKE,0.410108
295,Polyline,92073,DANIEL,0.431021
296,Polyline,92074,BOULDER,0.420212
297,Polyline,92075,BIG SANDY,0.423455
298,Polyline,92076,FARSON,0.459087
299,Polyline,92078,SAND DRAW,0.426563
300,Polyline,92079,SWEETWATER,0.381654
301,Polyline,92080,GAS HILLS,0.470703
302,Polyline,92081,BAIROIL,0.422836
303,Polyline,92082,LAMONT,0.454702
304,Polyline,92083,PATHFINDER,0.428319
305,Polyline,92084,LEO,0.454382
306,Polyline,92085,SHIRLEY,0.416812
307,Polyline,92086,WARBONNET,0.419214
308,Polyline,92087,FLETCHER PK,0.410338
309,Polyline,92088,SHAWNEE,0.445344
310,Polyline,92089,MEADOWDALE,0.410029
311,Polyline,92092,DIAMONDVILLE,0.378649
312,Polyline,92093,MTN VIEW,0.419357
313,Polyline,92095,GREEN RIVER,0.348253
314,Polyline,92096,RELIANCE,0.425165
315,Polyline,92097,ROCK SPRINGS,0.405937
316,Polyline,92098,BLACK ROCK,0.449274
317,Polyline,92101,WAMSUTTER,0.411132
318,Polyline,92102,RAWLINS,0.415675
319,Polyline,92103,BAGGS,0.455927
320,Polyline,92104,WALCOTT,0.46307
321,Polyline,92107,SYBILLE CYN,0.414236
322,Polyline,92108,ROCK RIVER,0.480785
323,Polyline,92120,WELCH,0.482134
324,Polyline,92123,FLAMIN GORGE,0.400151
325,Polyline,92147,ROZET,0.422255
326,Polyline,92148,SEELY 2,0.446176
327,Polyline,92167,THUNDER BASIN,0.457683
328,Polyline,92173,RYEGRASS,0.47341
329,Polyline,92192,CARTER,0.513588
330,Polyline,92195,SEEDSKADEE,0.416051
331,Polyline,92204,BASIN 2,0.425402
332,Polyline,92206,CABALLA CRK,0.448489
333,Polyline,92208,MORAN,0.433396
334,Polyline,92212,BUCKNUM,0.4619
335,Polyline,92214,HAMPSHIRE,0.480893
336,Polyline,92902,PRIOR FLATS,0.406543
