"","RouteID","CoV","p312_400m","p316_8km","p437_5km","p484_1km","p485_20km","p488_20km","p489_400m","p490_400m","p491_20km","p492_5km","p493_4km","p495_1km","p498_20km","p556_8km","p557_8km","p558_4km","pADV_400m","pDSD_400m","pISNV_20km","pSHV_400m","evd20km","lvd8km","pwm400m","pwt400m","countobs","mean_temp","prop_quality","msday","mean_noise"
"16",14142,0,0,0,0,0,0.00105258384804138,0,0.00341060002414584,0,0,0,0,0,0,0.00108720821872935,0.00654442869326044,0.0120691141123408,0.00223349028129905,0.00836049740432211,0.0355641024306807,0.163708801159,119.589237591425,116.96844235184,321.819493331996,1609.09746665998,1,61.8,0.8,61.4,0
"17",14151,0,0,0,0,0,0,0.00127625179029765,0.0206582250845978,0.0609376705599825,0.00121654410420185,0,0.0427798507462687,0,0,0.0720846484731759,0.0930894231997766,0.0371775053304904,0.451560964960157,0.253165593275843,0.0439635156184112,0.0512771531492195,106.599480264524,107.876965044154,259.74611394975,1298.73056974875,1,64.2,1,56.6,0.128
"18",14156,0,0,0,0,0,0,0,0.0061189688032902,0.0445882234928278,0,0,0,0,2.36554256084175e-06,7.63393743224881e-06,0,3.03272586915166e-05,0,0.0524626341659143,5.67730214602021e-05,0.0393218978834387,118.062446087058,115.24607785774,891.119509182879,4455.59754591439,1,70.6,1,54,0.044
"19",14158,0.46175896630055,0,0,0,0,0,0,0.151073183346263,0.322730799069046,0,0,0,0,7.59000032637001e-07,0.00253110295766728,0.0104470142154962,0.000148802392944244,0.00786139125937419,0.474683216964055,5.92020025456861e-05,0.0421256788207913,114.61900604072,118.080057309908,504.967766732042,2524.83883366021,1,57.2,1,71.6,0.036
"20",14165,0.724670910823722,0,0,0.0308518389082056,0,2.46561884187986e-05,0.00579989416805279,0.00868085106382979,0.0465248226950355,0.0151664008223787,0,0.00549528585318956,0,0.00218302099000286,0.025387908951182,0.0932152528727219,0,0.0809645390070922,0.435007092198582,1.61213539661376e-05,0.0489929078014184,111.874759334564,115.54097277626,364.661650897377,1823.30825448688,1,57.2,1,55.6,0.072
"21",14166,0.465657314657332,0,0,8.04186257017928e-05,0,3.98670990386448e-06,9.8870405615839e-05,9.20534830736658e-05,0.14270591213495,0,0,0.00877878141696816,0,0,0.218819798468909,0.336478704540417,0,0.574827975053506,0.153637263249948,0.000273488299405103,0.0690401123052494,115.648765533497,118.746919324802,174.078668064668,870.39334032334,1,58.8,1,51.4,0.004
"22",14181,0,0,0,0,0,0,0,0.000420168067226891,0.0307282913165266,0,0,0,0,1.9459912580085e-05,0.0195308274580598,0.0379763418579886,8.71054057070373e-05,0.107114845938375,0.0354621848739496,5.23920723309981e-05,0.0426050420168067,107.278509652296,113.023988336486,609.267598697929,3046.33799348965,1,65.2,1,46.6,0.084
"23",14188,0,0,0,0,0,0,0,0.00242998224243746,0.0822455528209602,0,0,0,0,0,0,0,0.000793391692543637,0,0.0850182248668183,0.00027953903667742,0.0997227327954142,114.613469603776,112.758974525109,1238.29307941322,6191.46539706608,1,66.2,1,51.8,0.104
"24",14199,0.912870929175277,0,0,0,0,0,0,0.000994832398375107,0.000718490065493133,0,0,0.00142803665756236,0,0,0.000341305791439902,0.000226300579106892,0,0,0.0166910769060712,0,0.0176582750711581,111.197866636526,116.502826281069,611.192288139346,3055.96144069673,2,22.8,1,79.8,0.012
"25",14406,0.450792203333211,0,0,0.000288603451551152,0,0,0,0,0.153999006458023,0.000582096098910008,0,0.00086792864419799,0,0,0.00407800542014739,0.0016430224736246,0,0.00017278990906931,0.16276809434329,0,0.00630683168102983,115.198614214646,111.685437582429,502.733134862516,2513.66567431258,2,17.4,1,80.2,0.008
"26",14407,0.543211575576277,0.000268574826865156,0,0.00174172932712998,0,1.49652208267985e-06,0,0,0.00270493218485622,7.55743651753325e-05,0,0.338350163945495,0,0,0,0.00287646861398191,0,0.00485353079977747,0.353406104322136,2.24478312401978e-06,0.0226178372052871,101.696904592188,101.828079982125,298.293772677209,1491.46886338604,1,69.4,1,69.6,0
"27",14415,0,0,0,0,0,0,0,0,0.000188740293356342,0,0,0,0,2.54983379719704e-05,0.0164716647334311,0.0399464910219543,2.75177351803237e-06,0.179222389991372,0.0150722605694564,2.31803072472458e-06,0.0251294219154443,109.756355047652,111.654357779748,730.582389448912,3652.91194724456,2,67.2,1,53.8,0.088
"28",14416,0,0,0,0,0,0,0,2.32331211374936e-05,0.000627294270712327,0,0,0,0,2.5470114640986e-06,1.65691846304243e-05,0.000564456889743122,3.42307494822599e-05,0,0.00141722038938711,3.90541757828452e-05,0.00427489428929882,112.830109603644,112.802310828616,1886.36930018986,9431.84650094928,3,70.8,0.4,69.6,0.048
"29",14419,0,0,0,0,0,0,0,0.00518297800906497,0.000797381232163841,0,0,0,0,0,3.58877431394598e-05,0,6.79074105093509e-06,0,0.00598035924122881,0.00026042940994492,0.000419674332717811,113.152739173224,114.281464399355,1029.68594625218,5148.42973126091,1,22.4,1,64.6,0.024
"30",14420,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64483465356307e-05,0,0,0,0,0,0,0.00407976354023563,116.964146626282,117.659223736627,1075.85703788942,5379.2851894471,1,23.4,0.6,51.8,0.068
"31",14422,0,0,0,0,0,0,0,0.00140471359450601,0.000178376329461081,0,0,0,0,3.07577794113576e-05,0.000344129013115815,0,0,0,0.00450400231889228,0,0.0094762425026199,118.416242706586,117.927430861623,913.063232135386,4565.31616067693,1,69,1,49,0.124
"32",14434,0,0,0,0,0,0,0,0.00987207196682049,0.00436162548435462,0,0,0,0,0,1.23187602399694e-05,0,8.55200330677461e-06,0,0.0149736160601281,5.59591274533081e-06,0.0277080047510563,119.623627154796,114.684175021235,996.829236789175,4984.14618394587,1,69,1,65.4,0.004
"33",14436,0.674997260568625,0,0,0,0,0.0504886473669836,0,0.0146126194581641,0.188853493877312,0,0,0,0,0.000586563050872707,0.0049064047130746,0.000313508288375374,3.36210736889883e-05,0,0.203466113335477,5.50872706507436e-05,0.0363561972119122,110.185477312756,113.094942842726,417.970627336637,2089.85313668318,1,60,1,53.4,0
"34",17003,0.455090417791648,0.000258658596518455,0.125281052753313,0,0,0,0,0.0228654199322314,0,0.185294147667806,0,0,0,0.000308567094499262,0.00902777355091209,0.129691465856732,0,0.270996611572386,0.278006259538036,0.000452251008731742,0.119914125345956,123.529970961942,120.963593749686,343.892577465993,1719.46288732996,1,69.8,1,50.8,0
"35",17004,0,0,0.00256634539213097,0,0,0,0,0,0,0.000990669188837753,0,0,0,0.000374274240768304,0.163962239239504,0.0564315421177713,1.87458993345206e-05,0.0698230511716882,0,0.0436550387634288,0.557543533912848,136.480753439972,130.615347516669,185.209550215631,926.047751078153,1,65.6,0.8,69.2,0.164
"36",17006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109480575277814,0.00524727475876341,0.0447419529968825,0.188733395287815,0,0.052166384810972,0.661892527196195,118.044151053419,115.048708053808,148.739337367128,743.69668683564,1,77.4,1,53.8,0.02
"37",17009,0.785060153392366,0,0.348464948377539,0,0,3.94043325851764e-06,0,0.02770420216193,0,0.0814779146596727,0,0,0,0.00396171159811364,0.00707900308202267,0.166674423752575,0,0.462548023003317,0.070370105233016,0.000809364991299523,0.121698045672561,112.026025467079,121.125564236965,267.087668987021,1335.43834493511,2,64.4,1,70.2,0.004
"38",17011,0,0,0.0831683417155591,0,0,0,0,0,0,0.000423054066463253,0,0,0,0.000128221468419897,0.00127618340179671,0.00297822669150151,4.84277135662168e-05,0.00140957872817556,0.000192215281114849,0.00559490922380712,0.0632067916065994,144.347028093835,117.569262469964,160.49062896817,802.453144840849,1,62.8,1,53.2,0.096
"39",17012,0,0,0,0,0,6.66339179039139e-05,0,0,0,0,0,0,0,0,0.0799521041489087,0.00351955462412866,0.000489537640139193,0.117219515966906,0.00141756230830692,0.02707351580696,0.636227737828295,131.832648254987,130.341985563453,173.029041028013,865.145205140066,1,72.6,0.8,55.6,0
"40",17013,2.23606797749979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.637680886508663,0.0374621969637053,0.00266772414290349,0.504699195227644,0,0.00718788172336069,0.422195959254882,123.82163195511,121.642647358719,148.75689066929,743.78445334645,1,79,1,65.8,0.02
