"","RouteID","Totalab","p312_400m","p316_8km","p437_8km","p484_1km","p485_20km","p488_20km","p489_1km","p490_5km","p491_20km","p492_1km","p493_4km","p495_1km","p498_20km","p556_5km","p557_8km","p558_400m","pADV_400m","pDSD_400m","pISNV_20km","pSHV_1km","evd20km","lvd8km","pwm400m","pwt400m","countobs","mean_temp","prop_quality","msday","mean_noise"
"89",17359,2,2.22652684078107e-05,0.236012842677204,0,0.000170281412439505,4.50200339150922e-06,0,0.0728894067037103,0,0.107293995828144,0,0,0,0.00023260350856131,0.00252573034998682,0.0632205482835268,0,0.108031082314697,0.0752120766815844,0.00455902876780167,0.324162036207206,112.153805467208,118.975705175472,293.285633028424,1466.42816514212,1,61.2,0.8,50.2,0.136
"90",17362,0,0,0.0173340640971973,0,0,0,0,0,0,0,0,0,0,0,0.0611493891023394,0.00425080161055752,0,0.0553133883850007,2.70745904968187e-05,0.204706209692646,0.232865894515172,130.579899750912,132.958104285781,166.560005325363,832.800026626816,1,66,0.8,50.2,0.012
"91",17365,6,0,0.206908882849378,0,0.00144884586255721,0.000131768674444783,0,0.0266609590920566,0,0.0113516830624546,0,0,0,0.000180711324952846,0.002041582159163,0.0527093275770146,0,0.0295718622422276,0.0409818905056003,0.00574436124193858,0.311040864038987,111.229142790434,115.822643075022,149.470000672648,747.350003363242,1,63.4,0.8,59.6,0.024
"92",17366,0,0.000201620293999047,0.179764238973802,0,0,6.76968624760804e-05,0,0.0358846153846154,0,0.0727658531008172,0,0,0,0,0.00565844840635908,0.0644709550920129,0,0.160783019905422,0.0821694343634297,0.000163224657303438,0.241669230769231,111.179381714826,114.729029587441,305.488588572138,1527.44294286069,1,55.2,0.8,64.2,0.028
"93",17367,35,0.000373436235762744,0.00430632863820511,0,0,0,0,0,0,0.0879404032454582,0,0,0,0.00197301242924211,0.00785984645804762,0.0229346320148224,0,0.0681728594842431,0.0522395800916993,0,0.451170754748811,114.22453597054,109.589443738473,193.843697174292,969.218485871461,1,70.4,1,77.2,0.004
"94",17372,0,7.46171208983901e-05,0.174983130061594,0,0,6.09504769755764e-06,0,0.00368211576510852,0,0.00444405165248171,0,0,0,0.00944503828832776,0.00674324256113873,0.0871409445402611,0,0.0611860391366799,0.0112298766952077,0.00025751576522181,0.186282972888322,111.789861930584,114.29481867222,261.642117547421,1308.2105877371,1,66.2,1,56,0.032
"95",17410,0,2.26603217765692e-05,0.00015218724930395,0,0,0,0,0,0,0.0412631806661584,0,0,0,0,0.000984316067796862,0.00128474352319381,0,0.00437344210287786,0.016360752322683,3.11157438996473e-05,0.481323548251313,122.465312152888,117.229748515403,260.644387114185,1303.22193557093,1,59.8,1,70.2,0.116
"96",17412,0,0,0,0,0,3.11991794615802e-06,0,0,0,0,0,0,0,0,0.882171589534892,0.0161657952501127,0,0.87534070072848,0,0.0352184137557182,0.0520929857781717,127.732360784822,128.381818157811,163.987047306761,819.935236533806,2,74.4,0.8,51.8,0.016
"97",17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682356442665721,0.0785383841236629,0,0.58281133268203,0,0.0972942665815652,0.00892751915144372,130.16331560221,121.512242148457,159.868767818999,799.343839094997,1,71.2,1,56.4,0.036
"98",17901,69,0,0,0,0,0.000312499758276796,0,0,0,4.87313979491043e-05,0,0,0,3.32611128858966e-05,0.120591221284624,0.00103449214602673,0,0.061878011919359,0.000627334683053409,0.0416367252191173,0.845738731363076,132.032333326975,126.736387094112,128.190978486289,640.954892431444,1,68.6,1,51.6,0.004
"99",17902,0,0,0.0135612775240812,0,0,0,0,0,0,0.00960917458880338,0,0,0,0,0.00135641249446917,0.00136124625968539,0,0,0,0.00977289874754791,0.0186871047904928,138.644591566613,127.747838447979,246.360892122735,1231.80446061368,1,50.4,0.8,81.4,0.064
"100",17903,0,0,0.077982229353306,0,0,4.69785769447276e-05,0,0.0345247035677642,0,8.1594370482948e-05,0,0,0,0.0338484767814565,0.00125141740781726,0.0564730800699853,0.134118336834905,0.0064738359310109,0.0483705477109493,0.022123612998725,0.149152219671888,113.451096603987,116.068643903082,275.0290960956,1375.145480478,3,76.4,0,49.2,0.108
"101",33001,0,0.038688893754105,0,0,0,0,0,0,0,0,0,0,0,0,0.218257115371079,0.00229781237666641,0,0.163325305726707,0,0,0.216233032392417,126.974188672935,129.868716840218,485.019934781382,2425.09967390691,1,55.6,1,61.6,0.028
"102",33002,0,0.0149502982107356,0,0,0,0,0,0,0,0,0,0,0,0,0.000669223976156309,0.00104489608451028,0,0.00755467196819085,0,0,0.0483359606085832,124.707660350848,134.971696561854,1036.14034136254,5180.7017068127,2,59.6,1,59.8,0.32
"103",33008,0,0.0625706480783723,0,0,0,0,0,0,0,0.00020085282868997,0,0,0,0,0.000478989678281997,0.00149795327386804,0,0.0102439713639789,0,0,0.205195738058183,118.188260685799,118.531613605048,520.165722180284,2600.82861090142,1,45,0.8,76.8,0.4
"104",33010,236,9.06344410876133e-05,0,0,0,0,0,0,0.162778946785536,0.263426255873596,0,0,0,0,0.000724477176661683,0.162375672760807,0,0.444773413897281,0.263595166163142,0,0.157085770998746,110.499146540586,106.647225270805,147.455789970896,737.278949854479,2,61.2,1,63.2,0.008
"105",33012,26,0.000152513421181064,0,0,0,0,0,0,0,0.107385703955967,0,0,0,0,0.00012859078279639,0.004902335966387,0,0.00247071742313324,0.140800390434358,0,0.188893030190086,133.34780655743,116.918850673751,779.290594605452,3896.45297302726,1,50.2,1,70.2,0
"106",33014,211,0.000343396766347117,0,0,0,0,0,0,0.00045072146880693,0.590229167207185,0,0,0,0,0.00219910149199288,0.103279013013221,0,0.29844040635284,0.532694233795965,0,0.0488244652642743,116.090555402177,115.89241775744,221.663102963484,1108.31551481742,2,61.4,0.8,66,0.02
"107",33018,0,0.0603600078262571,0,0,0,0,0,0,0.0173617712433488,0.0416536505148502,0,0,0,0,0.000117356842255974,0.000735733117764851,0,0.00479358246918411,0.0213591599817387,2.1366136000613e-05,0.276549893563901,112.371549802163,115.492952080567,492.128174695011,2460.64087347505,1,58.2,1,50.8,0.112
