"","RouteID","pres","p312_400m","p316_8km","p437_8km","p484_1km","p485_20km","p488_20km","p489_1km","p490_5km","p491_20km","p492_5km","p493_4km","p495_1km","p498_20km","p556_8km","p557_8km","p558_400m","pADV_400m","pDSD_400m","pISNV_20km","pSHV_1km","evd20km","lvd8km","pwm400m","pwt400m","countobs","mean_temp","prop_quality","msday","mean_noise"
"243",81042,0,0,0,0,0,0,0,3.47746691615754,0.0693751369246123,0.00287938478621675,0,0,0,0,3.67991442059487,1.18473988977001,0,8.25913417255143,4.03327099673431,1.49336707873862,85.8793426065784,115.748465196191,117.555864967109,167.005999834867,835.029999174337,4,47.4,1,65.6,0.016
"244",81047,0,3.69810003200559,0,0,0,0,0,0,0.00796955148330258,0.000298143682894379,0,0,0,0,0.0466625894423821,0.00400359495215704,0,0.101835956821554,0.0407343827286217,1.00616039384781,20.9822762122872,128.7664195506,120.267875067507,212.980617789852,1064.90308894926,1,57.4,0.8,60,0.04
"245",81704,0,5.15736895949931,0,0,0,0,0,0,0.12444116698161,0.000296194493151983,0,0,0.00123684308171822,0,0.016151058543261,0.00086523527910327,0.216645603899621,0.0511524342540772,0.26478907143287,0.801872541585707,12.6825889599387,124.030817440813,122.841435474673,201.949983006111,1009.74991503055,1,63,1,58,0.032
"246",81705,0,4.7970044520447,0,0,0,0,0,0,4.49061345790275,0,0,0,0,0,1.09161251001981,0.0382905711124802,0.0117934958870183,1.24716219005219,1.65698617212607,3.44442734576526,15.2399098001857,127.637508161885,127.097901471559,193.364472530904,966.82236265452,1,66,1,63.2,0
"247",81706,0,3.30202270500778,0,0,0,0,0,0,0.460254851464295,0,0,0,0,0,0.563651517435791,0.0173518761360501,0,0.0403388463089956,0.267965193338328,0.631756126591048,18.0959761549925,121.980127024266,122.517471956088,181.07506124965,905.37530624825,1,65.4,1,66.6,0
"248",81900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819054325605555,0.422914778455042,0,0.876376988984088,0,0.314309383373642,97.7895945137206,119.361439785374,126.889230388392,175.922788238069,879.613941190347,1,69.6,1,60.2,0.012
"249",81901,1,0,0,0,0.00785369684730169,0,0,0.115561539324582,6.36656980291314,0.0482285976351714,0,0,0,0,0.341192835613477,0.131146410579763,3.21312927241026,1.84872554174854,1.66883458334486,5.96318501067021,90.6249298777067,110.454979475709,112.634765807095,149.967570817209,749.837854086045,1,66,1,55,0.004
"250",81907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2148405373298,1.47902768893356,0,1.53208645984993,0,0.125164626767997,96.6425605631479,117.392533842538,121.213043385671,174.394464006367,871.972320031833,1,65.2,1,57.6,0.004
"251",81908,0,0,0,0,0,0,0,2.80864821175995,5.66633191810923,0.00781353082401054,0,0,0,0,1.24811796680371,0.153848071064667,11.679330658243,0.00569168160733089,3.13896240644298,8.39047899155328,81.3733414157742,114.697476620194,118.547773491776,162.119433086631,810.597165433155,1,66,1,53.4,0
"252",81909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41923882955355,1.70458268391479,0,12.239541593204,0,1.57765298827888,84.0046488191024,124.189515908949,120.195575532165,174.630810925827,873.154054629137,2,71.4,1,56.2,0.032
"253",81911,0,3.2535190828617,0,0,0,0,0,0,10.3173325340778,0,0,0,0,0,0.34496472154823,0.0110221888577587,2.96618778116384,0,7.86823392831229,6.78849311157113,51.4753140520012,126.947497228888,129.389961098604,186.968525219378,934.842626096892,1,64.4,1,54.4,0
"254",85004,0,0,0,0,46.6841892438334,0.256870331622813,28.1646337186875,2.56660825807611,0,0.0136617610959801,0,0,0,1.70516312288864,0.0344851133570063,0.644860238550487,0.0141843971631206,1.26241134751773,67.3049645390071,0.201492711779214,15.7826751134475,111.994141327033,128.86322995883,119.798741365125,598.993706825626,1,67.8,1,47.4,0
"255",85011,1,0,7.13829711772634,0,0.261581521881294,0.0918986041281565,0.185981418037528,11.2466975332862,0.0387239062419859,6.35499880677429,0.0471867466789763,0,0,0.221737741122603,10.9422919381736,19.9674261211353,1.70094007050529,64.6944770857814,9.03055229142186,2.93776215573416,1.0110125820712,114.815446165516,120.799759455095,247.750419714904,1238.75209857452,1,65.6,1,45.2,0.004
"256",85012,1,0,0.00129770526777499,0,29.5778721238273,1.33554702558754,0,24.2309961477505,0,0,0,0,0,1.15422607883992,0.283029518901726,6.59831220452873,0,1.93885372015783,53.6633832003861,2.034342187314,26.0044190969772,111.272951474562,118.541325575032,114.588274229594,572.94137114797,1,66.8,1,64,0.084
"257",85015,1,0.00248323814253787,3.24509824857146,0,0.00806330849066384,0.00166225772593644,0,7.91240943176713,0,8.92030819841342,0.621436212919932,0,0,0.630866384557784,0.569405835750346,5.22589697434847,0,6.17829649863422,11.9617581326049,0.000712396168258476,4.48665522444795,123.075874610631,123.580512011376,331.315695594884,1656.57847797442,1,66.8,0.8,70.6,0.024
"258",85019,1,0,0.213895029706967,0,1.55226181716248,2.45898455832139,1.22431376610598,58.5783197262226,0,0.328511921908023,0.00655902576603955,0,0,1.2246374231719,1.81403414051651,5.57270120603235,1.88235915307038,7.24431068166218,62.7197845715191,6.1324922565047,1.4413025450553,123.852983417908,127.480600925503,244.61950384697,1223.09751923485,1,70.4,1,49.2,0
"259",85020,0,0,19.0931572456723,0,0,0,0,0.0331057786707459,0,9.71165467799156,0,0,0,0.000526809326632319,0.11066378697221,0.278747463411133,0,1.65990312868176,7.67901557795523,0.000677326277098695,14.342793214457,125.289631606326,124.97536877418,499.547668048195,2497.73834024098,1,74.6,1,64.8,0.156
"260",85021,0,0,0.0890378474088595,0,0.222119687100962,0.00560213765779047,0,4.23315055851834,0,0.777517737031236,0.00172622875120297,0,0,0.91204275315581,0.391943592500079,1.67123027792709,0,5.49186950813049,7.22906777093223,0.0392886759421358,0.0976468189670898,123.442193487167,119.257566166535,156.4064363137,782.032181568498,1,85.2,1,52.8,0.036
"261",85022,0,0,0.0070516298826561,0,0.613699664825568,0.0750465319035557,0,0.119199357975735,0,0,0,0,0,1.18303261279501,0.00274894046273034,0.0497199666302532,0,0,49.0311710193766,0.396609087730388,0,116.210361457765,137.270014430254,119.222032503124,596.110162515622,2,55.8,1,56,0
"262",85024,1,0,0.000616234829839076,0,0.0012075398790045,0.32254794098762,7.0865922941457,34.4656032265466,1.52572029460708,37.3290477138147,0,0.00331224537113709,0,0.00367982517075515,0.920161847915709,3.13897697623429,0,10.4292668535182,57.7076264935831,0.0821577293225742,4.58985908009612,114.495350653277,117.990765213817,222.936115792328,1114.68057896164,2,52.2,1,57.4,0.024
"263",85104,1,0,0.0128964952622652,0,12.0539381217487,0.268891891238068,34.2985242468205,21.0710048370904,0,0.451134323522103,0,0,0,4.69622473732092,0.00172720918691052,2.39195442931281,0.0139867964641379,3.60020140986908,80.2590354705158,0.115532611938712,3.9905996166834,111.10945179451,126.496347376655,143.309379138961,716.546895694803,2,64,1,47.4,0
"264",85108,1,0,0,0,20.2594649399728,0.302095171073674,0,22.9336129225522,0,0.00277369648152639,5.19696152944033,0,0,3.49351034271794,0.599917518643006,5.76037647014841,0.0307873156259621,4.03593719387612,51.3224551484788,6.11528750552758,5.37364333940134,109.350518841586,118.20189601099,119.986242812833,599.931214064164,1,69,1,63.4,0
"265",85109,1,0,0,0,36.0841590381824,0.423268632213878,12.6673797903713,1.11427297973737,0,0.107859960332494,0,0,0,35.7974728678715,0,0,0.15069066555044,0,80.6167155016046,1.01917262793514,7.24448863441561,118.953398283153,142.526317789441,200.493739607437,1002.46869803719,2,67.6,1,49.2,0
"266",85112,1,0,0.0069195619791457,0,22.1964915648773,3.75330323923312,0,6.27414748866118,0,0.296299623449443,0,0,0,5.38392436050037,0.219538830065623,5.62962981601514,0.264224590902267,1.89761297102537,44.6299354451284,1.36209490870708,2.86170238295217,113.278737579923,122.659304800982,131.728755729554,658.643778647772,1,41.6,1,52,0
"267",85119,1,0,0.004774859264084,0,9.44153004226198,1.18654293460436,1.17721488515968,48.2760964887434,0,0.160457495689538,0,0,0,3.69902296204688,0.034525905447992,0.453489197799157,0.0615591247411719,1.02132184229671,71.9514242542951,1.65595445504632,1.62702953806411,133.712445162308,118.549508550412,186.054348560281,930.271742801404,1,69.8,1,53,0
"268",85120,0,0,0.0443609186862175,0,0.177331723513432,0.125849127262039,0,50.7517733172351,0,0,0,0,0,1.06057915962324,0.0174821354428443,0.57854941981163,0.0138773244518457,0.0693866222592284,59.2515496345638,0.424171984358005,1.12907485662542,127.051271256752,111.887503077768,284.869691457473,1424.34845728737,1,79.2,0.4,63.6,0.128
"269",85121,0,0,0.360511171704158,0,0,0.00799475782981925,0,1.13007521564682,0,5.24530830999038,0,0,0,0.158923830878743,0.0152831598147167,0.999404385267034,0,0.464767616191904,1.76911544227886,0.0141962989501463,0.580375219327845,124.83301544273,117.379249614165,302.290302670281,1511.45151335141,1,72.4,1,59.2,0.236
"270",85123,1,0,0.469084869614373,0,4.8882731604782,0.0256447055446677,0,49.1442834792371,0,0,0,0,0,0.259505598309802,0.602368243291425,1.48193478709018,0,1.92398768647881,62.2572815533981,0.668409251856888,0.372621848538773,111.828987465442,126.383332363097,132.493233471907,662.466167359537,2,49.2,1,62.2,0.004
"271",85153,1,0,0.00216803734805672,0,0.0543634045329195,0.000733686481092899,0,0.000988425536962173,48.5636428358081,16.3320078064242,0,0,2.7280544820156,0.00198095349895083,0.00554053988947827,16.9321307952843,0,47.245684454185,41.099263710015,0.00821728858824047,0.131460596415969,120.50422506588,127.798356600358,242.194779943866,1210.97389971933,2,62,1,53,0.048
"272",85155,1,0,1.85675881199996,0,0.498519701702089,2.55575343558119,2.06134871481354,41.0576756773255,0,8.0259460845554,0,0,0,2.80100131809987,0.974327117718252,2.20784645538574,5.95127581102441,6.72152946784755,49.4919336628447,13.8582643923841,1.11403892523222,116.246206426059,128.115465030758,200.120498407508,1000.60249203754,2,67,1,46,0
"273",85156,1,0,2.0481739616627,0,0,0,0,0,0,13.5929338287659,0,0,0,0,0.00835050835232368,0.0439309352448333,0,0,12.3541825429392,0.00700240465555619,25.0977757516136,115.243932809142,116.087102424679,604.297471013835,3021.48735506918,1,71.4,0.6,82.2,0.04
"274",85169,0,0,0.326181611525156,0,0,0.0140278445330906,0.674886983563058,0.224617223401405,0,0.775444479637107,0,0,0,3.61999602790507,0.049375619896322,0.339470892153706,0,0.555043994270514,87.5409249028034,0.264535615589808,0.0267892101304428,123.53169520675,145.010203602614,210.859067752531,1054.29533876265,1,51.4,0.8,49.8,0
"275",85174,1,0,18.7869428383225,0,0,0.00106114467191681,0,1.08268856933198,0.135564178803608,22.3115520756748,0.0844126392178602,0,0,0,0,0.00541608724291883,0,0,37.718214364921,0.140450076932989,9.32064832575923,118.84670044267,123.313559238683,452.360445208865,2261.80222604432,1,72.6,0.8,68.8,0.052
"276",85203,1,0,0.43869196122097,0,0,0,0,1.46425495262705,1.49867376734443,30.8892979825777,0,0,0,0,3.86510580991769,4.76688808570998,0,2.49958752681076,50.9514381565198,1.13886622003758,3.79550296930958,117.631545312682,118.230959109836,479.372126786114,2396.86063393057,1,64.2,0.4,65,0.412
"277",85206,1,0.0535117056856187,5.61757939085822,0,0,0,0,0,0.211119847437674,14.3845216927855,0,0,0,0,0.0409629561683804,0.72627572593018,0,0,14.2769230769231,0.0243899868565071,25.533428968384,114.499247234538,116.291949037485,379.629322763927,1898.14661381963,1,68,0.8,78.2,0.092
"278",85251,1,0,0.000813412999605043,0,69.1790834039302,0.931832011457327,15.6077980209938,4.22501287354031,0.000772006429269543,0.0330499808872034,0,0,0,0.748541401570576,0,0.0415744422020355,1.98412698412698,0.0671873687746704,89.5292684975225,2.57885969432834,5.29227089251009,115.038683894032,121.112291234085,139.256160552624,696.280802763122,1,73.4,1,48.8,0.004
"279",85313,1,0,2.00454919209799,0,29.6197867906864,0.042824138408868,0,13.7820996788774,0,0.0144834837397451,0.0779159185609269,0,0,1.30562734231205,0.137917177622692,0.475776043469573,0.0024523027122468,1.77056255824219,46.4809456079258,5.35043376076573,19.7354513333132,108.427681242614,142.819663943182,141.53001159261,707.650057963051,2,67.6,1,52.8,0.048
