"","RTENAME","RouteID","evd400m","evd1km","evd4km","evd5km","evd8km","evd20km","lvd400m","lvd1km","lvd4km","lvd5km","lvd8km","lvd20km","pwt400m","pwt1km","pwt4km","pwt5km","pwt8km","pwt20km","pwm400m","pwm1km","pwm4km","pwm5km","pwm8km","pwm20km"
"22","KLAGETOH",6161,150.084837924182,142.732582846961,142.891082433135,142.382620093657,141.381299843876,143.11308828178,115.335505216613,114.099930905118,116.540400561298,116.318262783653,115.613601521552,116.382475003841,579.819773795385,534.110830767688,516.906153485553,524.166987868063,515.150616854413,503.323607303338,115.963954759077,106.822166153538,103.381230697111,104.833397573613,103.030123370883,100.664721460668
"23","NUBIEBER",14003,109.155035140986,108.650454779511,110.209237936015,110.602115320756,112.318413799446,112.019153435116,110.43739686243,110.604054488442,112.004720821771,112.86115051469,115.335333188233,115.10545109404,1776.38780826759,1895.10010361517,1941.40801313003,1983.94956561472,2057.72995915743,2006.33462605589,355.277561653518,379.020020723035,388.281602626006,396.789913122944,411.545991831487,401.266925211178
"24","RED BLUFF",14007,107.984218949213,108.508744029251,105.50854191156,106.001672805847,105.703770203791,106.422339419694,155.462298927827,151.028093381839,162.818023947581,162.601431236384,162.101486320215,165.253361355645,3122.99580076968,3219.30466752393,3172.16714919148,3200.25425023371,3224.65471900653,3317.26825104338,624.599160153937,643.860933504785,634.433429838296,640.050850046742,644.930943801305,663.453650208676
"25","LASSEN PARK",14008,112.750187379609,113.571441967186,119.56540658017,121.36843560584,124.802947634702,124.682389799623,113.710913948055,113.947414447452,113.776373214283,114.288922235078,114.110433986371,114.847682794237,4395.23195418993,4949.63103331545,5048.00010190729,5001.45726785016,5385.97517707374,5098.54712429886,879.046390837987,989.92620666309,1009.60002038146,1000.29145357003,1077.19503541475,1019.70942485977
"26","EAGLE LAKE",14009,106.581640674843,111.350714577932,106.324556023348,106.706529909375,106.295372121232,106.373389611859,115.755320124379,120.751326627458,114.969287984824,114.861188324653,113.436749929151,112.59442613924,1743.39872074521,1769.08550471012,1740.8514672143,1775.97867666682,1832.95838316569,1968.99972802493,348.679744149043,353.817100942024,348.170293442859,355.195735333364,366.591676633139,393.799945604985
"27","WESTVILLE",14013,108.049356462191,113.547618987219,115.552234881319,115.236493098063,116.488770622995,115.32563492258,112.345507973097,111.837296445914,111.954977157065,112.603594742904,113.966372070719,113.225713105472,6815.75175672249,7014.61758291152,7158.21009397417,7153.83763485814,7167.63754467874,7163.58903140398,1363.1503513445,1402.9235165823,1431.64201879484,1430.76752697163,1433.52750893575,1432.7178062808
"28","COTTAGE SPGS",14017,120.974280061585,122.341728257016,120.500779626437,119.732822372168,119.039119054324,118.541603556187,114.341736967165,114.977298099518,117.177566410852,116.871269596732,116.209927546863,116.914041167324,4850.06401381134,5140.91532378384,5044.88576128659,5023.50733486953,5005.46525139123,4960.55213425646,970.012802762269,1028.18306475677,1008.97715225732,1004.70146697391,1001.09305027825,992.110426851293
"29","DARDANELLE",14018,127.216028128447,127.28043568138,131.515491037337,131.581576316435,130.776793740795,134.127507017346,114.111682343384,114.350299844941,114.77949132484,114.777639147676,114.529144289664,113.933971716172,4633.68054776004,4733.75372326883,4643.16054754683,4603.49962412814,4763.93334918469,5014.73880803553,926.736109552009,946.750744653765,928.632109509365,920.699924825629,952.786669836938,1002.94776160711
"30","BASS LAKE",14022,123.459616752154,122.69623466669,121.158782227872,120.558434454414,120.454406054095,119.696106462868,135.588010333547,132.583832687545,127.066367726672,126.488836187535,127.234269414314,130.26643297854,3973.4743234087,3846.65311077429,3960.06439832805,3994.54326428587,4090.4503066307,4068.79452134999,794.69486468174,769.330622154858,792.012879665609,798.908652857174,818.09006132614,813.758904269997
"31","BIG PINE",14023,125.891273547307,125.361275247791,125.323296722603,124.921441560305,123.033031496895,121.957773806634,110.733528111634,110.48938885836,110.549372215349,110.590549019649,110.912872466389,111.777837832835,787.596674194161,794.524337260571,759.55529429417,758.190007464071,731.67580087851,706.197698266251,157.519334838832,158.904867452114,151.911058858834,151.638001492814,146.335160175702,141.23953965325
"32","UBEHEBE",14029,120.548519679637,120.020390637781,116.889838478832,116.586538311535,117.65334852256,116.296814602506,146.652133188018,143.465804257796,134.933802457986,134.332476996793,131.7365035454,131.636843648231,474.112481454572,460.082878545627,494.27467620124,510.996310053959,510.825213162616,510.267046909679,94.8224962909144,92.0165757091254,98.8549352402479,102.199262010792,102.165042632523,102.053409381936
"33","HAIWEE RES",14030,112.162344356879,112.128174810371,111.67390820034,111.737031087979,111.884048069026,111.939849460047,115.683959940549,117.256852191145,116.526331426681,116.513658857781,118.839825515508,116.496233202401,617.896926838603,576.283162019131,611.832819471404,612.955404624736,656.152085420589,739.751742810052,123.579385367721,115.256632403826,122.366563894281,122.591080924947,131.230417084118,147.95034856201
"34","WILDROSE",14031,115.166843623156,115.008204724052,117.410232803638,117.69745051656,119.204142268313,117.577646873338,136.251954906451,132.289499248457,137.349520992166,137.089160547957,135.271976122261,138.233157224209,603.560508672006,588.017252244862,538.388090148545,588.798201159308,570.288208768607,485.057310305301,120.712101734401,117.603450448972,107.677618029709,117.759640231862,114.057641753721,97.0114620610602
"35","BAKERSFIELD",14033,127.166861055703,130.219853323893,130.433212651804,132.146589776701,134.92238463992,135.187758101079,125.632574975186,129.944639586404,132.439372768524,133.283506473428,135.230669334496,140.557484013344,671.440515570448,677.608473413939,689.52433176653,690.841602020163,703.082185281111,722.374183556412,134.28810311409,135.521694682788,137.904866353306,138.168320404033,140.616437056222,144.474836711282
"36","ONYX",14034,115.399870468864,115.372864142183,113.892570712427,114.054951419709,116.027131798285,116.471524829717,148.362724812417,150.072541955243,147.561538483952,142.593893911599,132.978629700919,133.164511052365,1097.98436383456,1066.60451784261,1143.8628579143,1163.25457493346,1243.84681622344,1364.80978282364,219.596872766913,213.320903568521,228.77257158286,232.650914986691,248.769363244689,272.961956564728
"37","CALIF CITY",14035,155.768255817656,155.054511959472,143.175839252199,141.923708401182,140.116183205747,137.683366689983,142.221341556907,161.276065395833,167.719971199607,174.136927656533,183.149713729793,185.642694238944,627.073402028115,643.767223409623,661.141028876744,655.981445498165,672.557624417306,717.040298324891,125.414680405623,128.753444681925,132.228205775349,131.196289099633,134.511524883461,143.408059664978
"38","GOLDSTONE",14036,146.414074747718,146.341668421263,145.38738980562,146.151759580119,146.641700255869,143.166122275829,194.968631569443,203.940814915219,204.95992781018,202.501393031586,201.595165216476,184.046525036278,518.276809669325,522.264673665815,513.830644918708,512.334791080492,510.892458293524,503.847518255089,103.655361933865,104.452934733163,102.766128983742,102.466958216098,102.178491658705,100.769503651018
"39","VALLEY WELLS",14037,122.332623072284,125.047995063559,124.341375192641,124.153090667583,124.033790269673,123.775274639333,146.58833802844,142.391062961059,146.773437851505,145.980912981359,146.674841048554,146.283060187345,638.682332327807,712.226956185381,688.908199227042,686.664515174249,681.909775783812,682.29016312626,127.736466465561,142.445391237076,137.781639845408,137.33290303485,136.381955156762,136.458032625252
"40","FOSTER PARK",14039,108.17066138368,110.348634438208,110.505979677815,109.997320307724,109.647255903897,109.597840076239,118.799710088551,119.286335937772,129.55519499477,129.572634901703,128.142183429906,128.491849905546,3277.60054503126,3044.2884306024,2951.25815267304,2898.15062320613,2832.06946398024,2829.70869591463,655.520109006252,608.85768612048,590.251630534607,579.630124641226,566.413892796049,565.941739182926
"41","WILLOW SPGS",14040,139.595342004582,138.938709981738,139.201877160205,137.722071391347,133.935878182032,127.639037396143,NA,214.291671208565,183.977281474494,184.726047896569,173.086264159754,149.888592043285,1071.85194037415,1089.90434313593,1051.5901227465,1080.75813952392,1068.21345550096,1207.33834701848,214.370388074829,217.980868627186,210.3180245493,216.151627904784,213.642691100193,241.467669403695
"42","BARSTOW",14041,128.946184181263,129.953322258358,129.845147422694,129.685667091615,131.165146179298,128.350306173551,136.617917415589,149.442314590865,143.68124066557,142.793277655429,151.062548663476,157.55280316847,668.580146067334,650.062080845149,672.587219946228,663.269934699529,665.879118680067,646.054527941984,133.716029213467,130.01241616903,134.517443989246,132.653986939906,133.175823736013,129.210905588397
