"","RouteID","countobs","mean_temp","prop_quality","msday","mean_noise"
"262",85024,2,52.2,1,57.4,0.024
"263",85104,2,64,1,47.4,0
"264",85108,1,69,1,63.4,0
"265",85109,2,67.6,1,49.2,0
"266",85112,1,41.6,1,52,0
"267",85119,1,69.8,1,53,0
"268",85120,1,79.2,0.4,63.6,0.128
"269",85121,1,72.4,1,59.2,0.236
"270",85123,2,49.2,1,62.2,0.004
"271",85153,2,62,1,53,0.048
"272",85155,2,67,1,46,0
"273",85156,1,71.4,0.6,82.2,0.04
"274",85169,1,51.4,0.8,49.8,0
"275",85174,1,72.6,0.8,68.8,0.052
"276",85203,1,64.2,0.4,65,0.412
"277",85206,1,68,0.8,78.2,0.092
"278",85251,1,73.4,1,48.8,0.004
"279",85313,2,67.6,1,52.8,0.048
"280",85316,1,70.4,1,55.4,0.068
"281",85317,1,65.6,1,42.8,0.004
"282",85318,1,74.8,0.8,57.6,0.24
"283",85321,1,89.6,1,49,0.044
"284",85323,1,69.2,0.4,56.6,0.292
"285",85368,1,78.2,1,77.6,0.068
"286",85901,2,62.6,1,57.2,0.02
"287",85902,2,63.8,0.6,71.4,0.076
"288",85903,2,63.2,0.8,62.8,0.008
"289",85904,1,57.4,1,54.4,0
"290",85906,1,63.2,1,68.2,0.548
"291",85909,1,47.4,1,62.8,0.008
"292",89005,2,68.2,1,62.8,0.284
"293",89006,2,64.8,0.8,55.2,0.136
"294",89016,2,58.4,0.8,67.2,0.004
"295",89019,1,53.2,1,73.6,0
"296",89021,1,70.2,0.8,54.8,0.008
"297",89029,1,63.6,1,62.6,0.068
"298",89035,1,61.4,1,63,0
"299",89036,1,63.4,1,69.2,0.064
"300",89043,1,57.6,1,77.8,0.048
"301",89046,1,68.2,1,62.6,0.004
"302",89049,1,63.8,0.8,73.2,0.176
"303",89050,1,72,0,42.6,0.12
"304",89054,1,60.2,1,61.8,0
"305",89055,2,69,0.8,76.2,0.016
"306",89057,1,60.4,0.8,49.4,0
"307",89061,1,50,1,68.8,0.24
"308",89063,1,69,1,65.4,0.14
"309",89069,1,41.4,1,53,0.004
"310",89070,1,69.2,1,72.2,0.044
"311",89071,1,63.8,1,69.2,0.064
"312",89075,2,67.6,1,55.2,0
"313",89152,1,65.4,1,74,0.224
"314",89164,1,70,1,49.6,0.004
"315",89906,1,64.6,1,70.2,0
"316",89908,2,64.8,1,67,0.04
"317",89909,1,20.8,1,65.8,0.008
"318",89950,2,74.6,1,57.2,0
"319",89951,2,70.6,0.8,59.4,0.036
"320",92001,3,51.6,1,60.8,0.12
"321",92002,1,52.4,1,56.2,0.008
"322",92005,1,57.2,1,62.4,0
"323",92007,1,72.4,1,71.4,0.004
"324",92009,1,61.2,1,67,0.044
"325",92011,1,75,1,80.2,0
"326",92015,1,66.8,0.8,72,0.032
"327",92018,1,71.6,1,69,0.024
"328",92019,1,71.4,1,61.6,0.028
"329",92022,1,56.2,0.8,54.2,0.036
"330",92026,1,60.2,1,74,0.108
"331",92028,2,64.6,1,57.4,0
"332",92030,4,62.6,1,60,0.072
"333",92039,1,68.8,1,60,0.028
"334",92040,1,72.4,1,65,0.044
"335",92042,1,53,1,68,0
"336",92044,1,71.2,1,69,0.076
"337",92053,1,69,1,68.6,0.052
"338",92059,2,70.6,1,73.6,0.072
"339",92061,1,67.2,1,57.2,0
"340",92064,1,77.8,1,70.6,0.004
"341",92077,1,59.6,1,74.4,0.068
"342",92081,1,71,1,75,0.004
"343",92082,1,72,1,75.4,0.032
"344",92083,1,74.6,1,68.6,0
"345",92084,1,71.6,1,67.6,0
"346",92085,2,59.2,0.8,71.2,0.032
"347",92087,1,72.4,1,68.4,0
"348",92090,2,67.2,1,62.4,0.004
"349",92097,1,75,0.8,67.4,0.128
"350",92104,1,65.4,1,60.4,0.144
"351",92120,1,63.6,1,56.6,0.004
"352",92148,1,74.6,1,70.2,0.004
"353",92150,1,67.4,1,63.2,0
"354",92206,1,67,1,73.6,0.056
"355",92250,1,72,1,64,0
"356",92901,4,58,1,68.6,0.116
