"","RouteID","sum","AOU","Ab09","Ab10","Ab11","Ab12","Ab13","Totalab","Aveab","Stdev","CoV","pres"
"204",60107,5,0,0,0,0,0,0,0,0,0,0,0
"205",60153,5,5620,13,11,6,5,9,44,8.8,3.3466401061363,0.380300012060943,1
"206",60201,5,5620,6,9,18,4,6,43,8.6,5.54977477020464,0.645322647698214,1
"207",64033,5,0,0,0,0,0,0,0,0,0,0,0
"208",69003,5,0,0,0,0,0,0,0,0,0,0,0
"209",69013,5,0,0,0,0,0,0,0,0,0,0,0
"210",69014,5,5620,17,13,3,0,10,43,8.6,7.02139587261678,0.816441380536835,1
"211",69015,5,5620,4,4,4,3,3,18,3.6,0.547722557505166,0.152145154862546,1
"212",69021,5,5620,123,83,64,90,47,407,81.4,28.6932047704679,0.352496373101571,1
"213",69022,5,5620,150,60,86,108,96,500,100,33.0756708170825,0.330756708170825,1
"214",69029,5,5620,1,2,1,2,2,8,1.6,0.547722557505166,0.342326598440729,1
"215",69041,5,0,0,0,0,0,0,0,0,0,0,0
"216",69043,5,0,0,0,0,0,0,0,0,0,0,0
"217",69046,5,0,0,0,0,0,0,0,0,0,0,0
"218",69048,5,0,0,0,0,0,0,0,0,0,0,0
"219",69052,5,0,0,0,0,0,0,0,0,0,0,0
"220",69061,5,5620,45,58,40,35,45,223,44.6,8.5615419172016,0.191962823255641,1
"221",69136,5,5620,3,3,1,1,2,10,2,1,0.5,1
"222",69147,5,0,0,0,0,0,0,0,0,0,0,0
"223",69160,5,5620,7,5,1,8,12,33,6.6,4.03732584763727,0.611716037520799,1
"224",69203,5,0,0,0,0,0,0,0,0,0,0,0
"225",69207,5,0,0,0,0,0,0,0,0,0,0,0
"226",69211,5,5620,17,23,29,25,26,120,24,4.47213595499958,0.186338998124982,1
"227",69213,5,5620,8,10,7,13,18,56,11.2,4.43846820423443,0.396291803949503,1
"228",69229,5,5620,5,3,2,2,1,13,2.6,1.51657508881031,0.583298111080888,1
"229",69230,5,5620,11,21,7,3,4,46,9.2,7.29383301152419,0.792807936035238,1
"230",69238,5,0,0,0,0,0,0,0,0,0,0,0
"231",69240,5,5620,1,0,0,2,0,3,0.6,0.894427190999916,1.49071198499986,1
"232",69245,5,0,0,0,0,0,0,0,0,0,0,0
"233",69252,5,0,0,0,0,0,0,0,0,0,0,0
"234",69253,5,5620,11,7,3,11,12,44,8.8,3.76828873628335,0.428214629123108,1
"235",69254,5,5620,81,93,80,93,105,452,90.4,10.285912696499,0.113782220094016,1
"236",69256,5,5620,13,0,1,20,2,36,7.2,8.87130204648675,1.23212528423427,1
"237",69906,5,0,0,0,0,0,0,0,0,0,0,0
"238",81028,5,0,0,0,0,0,0,0,0,0,0,0
"239",81029,5,0,0,0,0,0,0,0,0,0,0,0
"240",81031,5,0,0,0,0,0,0,0,0,0,0,0
"241",81036,5,5620,1,0,0,0,2,3,0.6,0.894427190999916,1.49071198499986,1
"242",81037,5,0,0,0,0,0,0,0,0,0,0,0
"243",81042,5,0,0,0,0,0,0,0,0,0,0,0
"244",81047,5,0,0,0,0,0,0,0,0,0,0,0
"245",81704,5,0,0,0,0,0,0,0,0,0,0,0
